Movement,Radar,Shields,Energy,TankState,SurvivalTime
-1,-1,-1,1,1,0.11327433628318584
1,1,-1,1,1,0.11504424778761062
1,1,-1,1,1,0.1168141592920354
-1,1,-1,1,1,0.11858407079646018
1,1,-1,1,0.25,0.12035398230088495
1,-1,-1,1,0.25,0.12212389380530973
-1,-1,-1,1,0.25,0.12389380530973451
1,1,-1,1,0.25,0.1256637168141593
-1,-1,-1,1,0.25,0.12743362831858407
1,1,-1,1,1,0.12920353982300886
1,1,-1,1,1,0.13097345132743363
-1,1,-1,1,1,0.13274336283185842
1,1,-1,1,1,0.13451327433628318
-1,1,-1,1,0.25,0.13628318584070798
1,1,-1,1,1,0.13805309734513274
1,1,-1,1,0.25,0.13982300884955753
1,-1,-1,1,0.25,0.1415929203539823
1,-1,-1,1,0.25,0.1433628318584071
-1,-1,-1,1,1,0.14513274336283186
1,1,-1,1,0.5,0.14690265486725665
-1,1,-1,1,1,0.1486725663716814
1,1,-1,1,0.75,0.1504424778761062
1,1,1,1,0.25,0.15221238938053097
-1,-1,-1,1,1,0.15398230088495576
-1,1,-1,1,1,0.15575221238938053
1,1,-1,-1,1,0.15752212389380532
1,1,-1,-1,1,0.1592920353982301
-1,1,-1,-1,1,0.16106194690265488
1,1,-1,-1,0.5,0.16283185840707964
-1,1,-1,-1,1,0.16460176991150444
1,1,-1,-1,1,0.1663716814159292
-1,1,-1,-1,1,0.168141592920354
1,1,-1,-1,0.5,0.16991150442477876
-1,1,-1,-1,1,0.17168141592920355
1,1,1,-1,1,0.17345132743362832
1,1,1,-1,0.75,0.1752212389380531
1,1,1,-1,0.75,0.17699115044247787
1,1,1,-1,0.75,0.17876106194690267
1,-1,1,-1,0.75,0.18053097345132743
1,-1,-1,-1,0.75,0.18230088495575222
1,-1,-1,-1,0.75,0.184070796460177
1,-1,-1,-1,0.75,0.18584070796460178
1,-1,-1,-1,0.75,0.18761061946902655
1,-1,-1,-1,0.75,0.18938053097345134
-1,-1,-1,-1,0.25,0.1911504424778761
1,-1,-1,-1,0.25,0.1929203539823009
-1,-1,-1,-1,0.25,0.19469026548672566
1,-1,-1,-1,0.75,0.19646017699115045
1,-1,-1,-1,0.25,0.19823008849557522
-1,-1,-1,-1,0.25,0.2
-1,-1,-1,-1,0.25,0.20176991150442478
1,-1,-1,-1,0.25,0.20353982300884957
1,-1,-1,-1,0.25,0.20530973451327433
-1,-1,-1,-1,0.25,0.20707964601769913
1,-1,-1,-1,0.75,0.2088495575221239
1,-1,-1,-1,0.75,0.21061946902654868
1,-1,-1,-1,0.75,0.21238938053097345
1,-1,-1,-1,0.75,0.21415929203539824
1,-1,-1,-1,0.75,0.215929203539823
1,-1,-1,-1,0.75,0.2176991150442478
1,-1,-1,-1,0.25,0.21946902654867256
1,-1,-1,-1,0.25,0.22123893805309736
1,-1,-1,-1,0.25,0.22300884955752212
1,-1,-1,-1,0.25,0.2247787610619469
1,-1,-1,-1,0.75,0.22654867256637168
1,-1,-1,-1,0.25,0.22831858407079647
1,-1,-1,-1,0.25,0.23008849557522124
1,-1,-1,-1,0.75,0.23185840707964603
-1,-1,-1,-1,0.25,0.2336283185840708
1,-1,-1,-1,0.75,0.23539823008849559
1,-1,-1,-1,0.25,0.23716814159292035
-1,-1,-1,-1,0.25,0.23893805309734514
1,-1,-1,-1,0.75,0.2407079646017699
1,-1,-1,-1,0.75,0.2424778761061947
1,-1,-1,-1,0.25,0.24424778761061947
1,-1,-1,-1,0.25,0.24601769911504426
1,-1,-1,-1,0.25,0.24778761061946902
1,-1,-1,-1,0.25,0.24955752212389382
1,-1,-1,-1,0.25,0.2513274336283186
-1,-1,-1,-1,0.25,0.25309734513274335
